skill_code,skill_name,form,topic_code,topic_name,strand,objective_type,content_basis,concept_tags,dkt_trackable,active
CS.F3.PROG.APPLY_ERROR_HANDLING,Apply error handling techniques,3,8.30,Programming,PROG,procedural,"Error handling","exceptions,error_handling",1,1
CS.F3.DB.CREATE_RELATIONAL_DATABASES,Create relational databases,3,8.31,Databases,DB,procedural,"Database objects and views","database_design,relational_model",1,1
CS.F3.DB.DESIGN_FORMS_REPORTS,Design forms and reports,3,8.31,Databases,DB,procedural,"Forms and reports","forms,reports",1,1
CS.F3.DB.CREATE_QUERIES,Create database queries,3,8.31,Databases,DB,procedural,"Queries","querying,select_filter",1,1
CS.F3.DB.IMPORT_EXPORT_DATA,Import and export data,3,8.31,Databases,DB,procedural,"External data sources","data_import,data_export",1,1
CS.F3.DB.APPLY_DATABASE_SECURITY,Apply database security measures,3,8.31,Databases,DB,procedural,"Database security","db_security,access_control",1,1
CS.F3.WEB.DESIGN_WEBSITE_WITH_CMS,Design websites using CMS templates,3,8.32,Web Design,WEB,procedural,"CMS templates","cms,wordpress,joomla,drupal",1,1
CS.F3.WEB.CREATE_UPLOAD_CONTENT,Create and upload website content,3,8.32,Web Design,WEB,procedural,"Web feeds,ads,content","web_content,publishing",1,1
CS.F3.WEB.USE_GRAPHICS_IN_WEB,Use graphics tools in web development,3,8.32,Web Design,WEB,procedural,"Graphic design and media","graphics,animation,video",1,1
CS.F3.WEB.APPLY_WEB_SECURITY,Apply security measures in web designing,3,8.32,Web Design,WEB,procedural,"Web security","cookies,plugins,developer_tools",1,1
CS.F3.WEB.TEST_DEBUG_WEBSITE,Test and debug websites,3,8.32,Web Design,WEB,procedural,"Testing and debugging","web_testing,debugging",1,1
CS.F3.TECH.IDENTIFY_TECH_LAWS,Identify laws governing technopreneurship,3,8.33,Technopreneurship,TECH,knowledge,"Laws and policies on technopreneurship","policy,legal_compliance",1,1
CS.F3.TECH.DESCRIBE_IP_RIGHTS,Describe intellectual property rights,3,8.33,Technopreneurship,TECH,knowledge,"IP rights: patents,copyright","ip_rights,patent,copyright",1,1
CS.F4.DATA.REPRESENT_LOGIC_GATES,Represent logic gates using symbols,4,8.36,Data Representation,DATA,procedural,"Logic gates","logic_gates,symbols",1,1
CS.F4.DATA.CONSTRUCT_TRUTH_TABLES,Construct truth tables,4,8.36,Data Representation,DATA,procedural,"Truth tables","truth_table,boolean_logic",1,1
CS.F4.DATA.MODEL_LOGIC_CIRCUITS,Model electronic circuits using logic gates,4,8.36,Data Representation,DATA,procedural,"Logic circuits","circuit_design,boolean_logic",1,1
CS.F4.APP.DESIGN_DOMAIN_MODELS,Design models for agriculture ambient and GIS systems,4,8.35,Application of Computer Science,APP,procedural,"Agriculture,ambient systems,GIS","domain_modeling,agriculture,ambient,gis",1,1
CS.F4.HW.REPLACE_MALFUNCTION_COMPONENTS,Replace malfunctioning components,4,8.34,Hardware and Software,HW,procedural,"Hardware and software maintenance","maintenance,component_replacement",1,1
CS.F4.HW.TROUBLESHOOT_COMMON_ERRORS,Troubleshoot common software and hardware problems,4,8.34,Hardware and Software,HW,procedural,"Common errors: software,keyboard,mouse,hard drive,memory","troubleshooting,diagnostics",1,1
CS.F4.NET.EXPLAIN_NETWORK_PROTOCOLS,Explain network protocols,4,8.37,Communication Networks and Internet Technologies,NET,knowledge,"TCP/IP and OSI","network_protocols,tcp_ip,osi",1,1
CS.F4.NET.EXPLAIN_NETWORK_DEVICE_FUNCTIONS,Explain functions of networking devices,4,8.37,Communication Networks and Internet Technologies,NET,knowledge,"Hub,router,switch,bridge,modem","network_devices,router,switch,modem",1,1
CS.F4.NET.DESIGN_NETWORK_MODEL,Design a network model,4,8.37,Communication Networks and Internet Technologies,NET,procedural,"Network model design","network_design,topology",1,1
CS.F4.NET.CONFIGURE_NETWORK,Configure a network,4,8.37,Communication Networks and Internet Technologies,NET,procedural,"Network configuration","network_configuration,addressing,device_setup",1,1
CS.F4.SEC.BACKUP_FILES,Back up files,4,8.38,Security and Ethics,SEC,procedural,"Data backup","backup,restore_points",1,1
CS.F4.SEC.FORMULATE_RECOVERY_PLAN,Formulate a disaster recovery plan,4,8.38,Security and Ethics,SEC,procedural,"Disaster recovery","disaster_recovery,continuity",1,1
CS.F4.SEC.USE_DATA_RECOVERY_TOOLS,Use data recovery tools,4,8.38,Security and Ethics,SEC,procedural,"Data recovery tools","recovery_tools,forensics_basics",1,1
CS.F4.SAD.DESCRIBE_DOCUMENTATION_TYPES,Describe types of documentation and their contents,4,8.39,Systems Analysis and Design,SAD,knowledge,"Documentation","technical_docs,user_docs",1,1
CS.F4.SAD.OUTLINE_USER_TRAINING_IMPORTANCE,Outline importance of user training in projects,4,8.39,Systems Analysis and Design,SAD,knowledge,"User training","change_management,user_training",1,1
CS.F4.SAD.DESCRIBE_IMPL_EVAL_MAINT,Describe implementation evaluation and maintenance activities,4,8.39,Systems Analysis and Design,SAD,knowledge,"Implementation,Evaluation,Maintenance","deployment,evaluation,maintenance",1,1
CS.F4.ALG.DESIGN_PROJECT_ALGORITHMS,Design algorithms for project solutions,4,8.40,Problem Solving,ALG,procedural,"Algorithm design","algorithm_design,project_problem_solving",1,1
CS.F4.PROG.DEVELOP_PROJECT_CODE,Develop project code using programming concepts,4,8.41,Programming,PROG,procedural,"Coding programs","coding,modular_programming",1,1
CS.F4.PROG.TEST_DEBUG_PROJECT_MODULES,Test and debug project modules,4,8.41,Programming,PROG,procedural,"Testing and debugging","unit_test,debugging",1,1
CS.F4.DB.CREATE_ADVANCED_QUERIES,Create queries based on multiple tables,4,8.42,Database,DB,procedural,"Advanced queries","join_queries,multi_table",1,1
CS.F4.DB.CONNECT_DB_TO_MODULES,Link database to project modules,4,8.42,Database,DB,procedural,"Database connection","db_connectivity,integration",1,1
CS.F4.DB.APPLY_DB_SECURITY,Apply security measures to databases,4,8.42,Database,DB,procedural,"Database security","db_security,privileges",1,1
CS.F4.WEB.DEVELOP_WEBSITE_USING_TOOLS,Develop websites using web development tools,4,8.43,Web Design,WEB,procedural,"Web development","web_development,tooling",1,1
CS.F4.WEB.APPLY_WEB_SECURITY_IN_DEV,Apply security measures in web development,4,8.43,Web Design,WEB,procedural,"Web security","web_security,hardening",1,1
CS.F4.WEB.TEST_DEBUG_WEB_APP,Test and debug a web application,4,8.43,Web Design,WEB,procedural,"Testing and debugging","web_app_testing,debugging",1,1
CS.F4.TECH.OUTLINE_FINANCIAL_RESOURCES,Outline financial resource components,4,8.44,Technopreneurship,TECH,knowledge,"Finance and funding","finance,funding",1,1
CS.F4.TECH.IDENTIFY_BUSINESS_LOCATION_CONDITIONS,Identify ideal conditions for business location,4,8.44,Technopreneurship,TECH,analysis,"Market research and business conditions","business_location,market_conditions",1,1
CS.F4.TECH.CONDUCT_MARKET_RESEARCH,Conduct basic market research for tech projects,4,8.44,Technopreneurship,TECH,procedural,"Market research","market_research,surveys",1,1
